22:07:52,063 WARN  eu.stratosphere.nephele.configuration.GlobalConfiguration     - Cannot load configuration: unknown element plugins
22:07:52,183 INFO  eu.stratosphere.nephele.discovery.DiscoveryService            - Discovery service socket is bound to /127.0.0.1:7001
22:07:52,283 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server Responder: starting
22:07:52,284 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server listener on 6123: starting
22:07:52,286 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 0 on 6123: starting
22:07:52,287 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 1 on 6123: starting
22:07:52,289 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 2 on 6123: starting
22:07:52,290 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 3 on 6123: starting
22:07:52,291 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 4 on 6123: starting
22:07:52,292 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 5 on 6123: starting
22:07:52,293 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 6 on 6123: starting
22:07:52,295 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 7 on 6123: starting
22:07:52,293 INFO  eu.stratosphere.nephele.jobmanager.JobManager                 - Starting job manager in LOCAL mode
22:07:52,313 INFO  eu.stratosphere.nephele.instance.HardwareDescriptionFactory   - Found Tenured Gen pool (max: 536870912, used: 0)
22:07:52,317 INFO  eu.stratosphere.nephele.instance.local.LocalInstanceManager   - Default instance type is default
22:07:52,329 INFO  eu.stratosphere.nephele.taskmanager.TaskManager               - Reading location of job manager from configuration
22:07:52,330 INFO  eu.stratosphere.nephele.taskmanager.TaskManager               - Determined address of job manager to be localhost/127.0.0.1:6123
22:07:52,332 INFO  eu.stratosphere.nephele.taskmanager.TaskManager               - Announcing connection information dopa-vm to job manager
22:07:52,375 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server Responder: starting
22:07:52,376 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 0 on 6122: starting
22:07:52,376 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server listener on 6122: starting
22:07:52,454 INFO  eu.stratosphere.nephele.taskmanager.bufferprovider.GlobalBufferPool  - Initialized global buffer pool with 2048 buffers with a size 32768 bytes each
22:07:52,467 INFO  eu.stratosphere.nephele.taskmanager.bytebuffered.ByteBufferedChannelManager  - Initialized byte buffered channel manager with sender-side spilling disabled and spilled buffer merging enabled
22:07:52,468 INFO  eu.stratosphere.nephele.instance.HardwareDescriptionFactory   - Found Tenured Gen pool (max: 536870912, used: 0)
22:07:52,468 INFO  eu.stratosphere.nephele.taskmanager.TaskManager               - Initializing memory manager with 409 megabytes of memory
22:07:52,898 INFO  eu.stratosphere.nephele.jobmanager.JobManager                 - Trying to load eu.stratosphere.nephele.jobmanager.scheduler.local.LocalScheduler as scheduler
